YMCC,fuelups,kml
2011 BMW F800GS,Added May 2011 &bull; 4 fuel-ups Property of ChopperRockerC . 2.8Avg L/100km.,2.8
2011 BMW F800GS,Added Feb 2011 Property of Kendym . N/AAvg L/100km.,N/A
2011 BMW F800GS,Added May 2012 Property of juriti . N/AAvg L/100km.,N/A
2011 BMW F800GS,Added Mar 2012 Property of thodoris . N/AAvg L/100km.,N/A
2011 BMW F800GS,Added May 2011 Property of Jedi . N/AAvg L/100km.,N/A
2010 BMW F800GS,Added Mar 2012 &bull; 25 fuel-ups Property of showard . 4.4Avg L/100km.,4.4
2010 BMW F800GS,Added Mar 2011 &bull; 48 fuel-ups Property of Stumpyfingers . 4.4Avg L/100km.,4.4
2010 BMW F800GS,Added Nov 2012 &bull; 44 fuel-ups Property of thinusp . 4.7Avg L/100km.,4.7
2010 BMW F800GS,Added Feb 2012 &bull; 37 fuel-ups Property of Muca22 . 5.5Avg L/100km.,5.5
2010 BMW F800GS,Added Oct 2012 &bull; 2 fuel-ups Property of bearbuck . 4.4Avg L/100km.,4.4
2010 BMW F800GS,Added Feb 2012 &bull; 17 fuel-ups Property of msfazer . 4.8Avg L/100km.,4.8
2010 BMW F800GS,Added Sep 2011 &bull; 20 fuel-ups Property of wellsy . 4.5Avg L/100km.,4.5
2010 BMW F800GS,Added Nov 2010 &bull; 15 fuel-ups Property of redback . 5.6Avg L/100km.,5.6
2010 BMW F800GS,Added Apr 2011 &bull; 9 fuel-ups Property of KnopKop . 5.4Avg L/100km.,5.4
2010 BMW F800GS,Added Jan 2010 &bull; 8 fuel-ups Property of richmo. 4.5Avg L/100km.,4.5
