"YMCC","fuelups","kml"
"2007 Aprilia Tuono","Added Sep 2009 &bull; 12 fuel-ups Property of MikeTheBike .","13.9"
"2007 Aprilia Tuono","Added Oct 2009 &bull; 7 fuel-ups Property of FloridaMotorSports .","10.9"
"2007 Aprilia Tuono","Added May 2010 &bull; 7 fuel-ups Property of neilma .","12.3"
"2004 Aprilia Tuono","Added Jun 2012 &bull; 26 fuel-ups Property of FredCroot .","11.8"
"2003 Aprilia Tuono","Added Oct 2012 &bull; 4 fuel-ups Property of Nick50 .","11.3"
"2003 Aprilia Tuono","Added Mar 2010 &bull; 8 fuel-ups Property of motorcyclist .","14.2"
"2003 Aprilia tuono","Added Aug 2008 Property of dszydlowski.","N/A"
"1999 Aprilia Tuono","Added Sep 2012 Property of craigmiller .","N/A"
"2009 Arctic Cat Crossfire 8","Added Dec 2011 &bull; 1 fuel-up Property of silverram323 .","4.9"
"2007 Arctic Cat Crossfire 8","Added Sep 2010 &bull; 5 fuel-ups Property of ChevroletTough .","5.6"
"1996 Arctic Cat EXT 580 EFI","Added Jan 2009 &bull; 5 fuel-ups Property of paintballdude05.","2.6"
"1994 Arctic Cat EXT 580 EFI","Added Mar 2012 Property of axlr8 .","N/A"
"2003 Arctic Cat ZR 600 EFI","Added Feb 2010 &bull; 5 fuel-ups Property of lebush .","6.3"
"1998 Arctic Cat ZR 600 EFI","Added Feb 2009 &bull; 1 fuel-up Property of Napoleon.","3.0"
"1998 Arctic Cat ZR 600 EFI","Added Feb 2009 Property of Napoleon.","N/A"
"2006 Arqin V3","Added Mar 2010 &bull; 16 fuel-ups Property of coma75.","24.7"
"2011 Baja SC150","Added Sep 2011 &bull; 7 fuel-ups Property of myspectacularjourney .","29.8"
"2008 Baja SC150","Added May 2009 &bull; 20 fuel-ups Property of TrueRollers .","29.6"
"2013 Baja SC50","Added Sep 2012 &bull; 8 fuel-ups Property of wflaw45 .","34.1"
"2008 Baja SC50","Added Sep 2012 Property of conorabc .","N/A"
"2003 Bajaj 150","Added Sep 2008 Property of hphari.","N/A"
"2003 Bajaj 150","Added Sep 2008 Property of anandrokr.","N/A"
"2003 Bajaj 150","Added Apr 2009 Property of sahilamin.","N/A"
"2002 Bajaj 150","Added Jan 2010 &bull; 67 fuel-ups Property of bagel .","32.5"
"2013 Bajaj Boxer BM100 Classic","Added Oct 2012 &bull; 5 fuel-ups Property of Sergh .","44.7"
"2006 Bajaj Chetak","Added Mar 2011 &bull; 22 fuel-ups Property of Valimagdon .","37.4"
"2006 Bajaj Chetak","Added Aug 2008 &bull; 5 fuel-ups Property of JuanKenobi.","33.9"
"2004 Bajaj Chetak","Added Jul 2012 &bull; 10 fuel-ups Property of BAJAJPDX .","34.2"
"2002 Bajaj Chetak","Added Mar 2012 &bull; 1 fuel-up Property of gadgetjon .","N/A"
"2002 Bajaj Chetak","Added Apr 2009 &bull; 7 fuel-ups Property of biobenzo.","37.7"
"1988 Bajaj Chetak","Added Feb 2012 Property of moeed .","N/A"
"2006 Bajaj lpg","Added Apr 2012 &bull; 8 fuel-ups Property of han .","36.9"
"2012 Bajaj Pulsar 135 LS","Added Jul 2012 &bull; 2 fuel-ups Property of hiantoro .","41.8"
"2012 Bajaj Pulsar 135 LS","Added Aug 2012 Property of bassado .","N/A"
"2012 Bajaj Pulsar 135 LS","Added Sep 2012 &bull; 2 fuel-ups Property of depeuve .","37.5"
"2011 Bajaj Pulsar 135 LS","Added Jun 2012 &bull; 17 fuel-ups Property of agzorig .","47.1"
"2011 Bajaj Pulsar 135 LS","Added Jul 2012 &bull; 1 fuel-up Property of Mystgun .","15.0"
"2011 Bajaj Pulsar 135 LS","Added Aug 2011 &bull; 1 fuel-up Property of linkinparklive .","41.5"
"2011 Bajaj Pulsar 135 LS","Added May 2011 Property of gatchie .","N/A"
"2010 Bajaj Pulsar 135 LS","Added May 2012 &bull; 3 fuel-ups Property of x3v4nx .","48.7"
"2010 Bajaj Pulsar 135 LS","Added Mar 2011 &bull; 1 fuel-up Property of pistonhead12 .","N/A"
"2010 Bajaj Pulsar 150 DTSi","Added Feb 2012 Property of arunreal1 .","N/A"
