Year,Make,Model,fuelups,user,KML,MPG,LP100KM,CC,Style,url
2006,Bajaj,Chetak,5,JuanKenobi.,33.9,79.7,2.95,,,http://www.fuelly.com/driver/JuanKenobi./
2004,Bajaj,Chetak,10,BAJAJPDX,34.2,80.4,2.92,,,http://www.fuelly.com/driver/BAJAJPDX/
2006,Bajaj,Chetak,22,Valimagdon,37.4,88.0,2.67,,,http://www.fuelly.com/driver/Valimagdon/
2002,Bajaj,Chetak,7,biobenzo.,37.7,88.7,2.65,,,http://www.fuelly.com/driver/biobenzo./
2006,Bajaj,lpg,8,han,36.9,86.8,2.71,,,http://www.fuelly.com/driver/han/
2011,Bajaj,Pulsar 135 LS,1,Mystgun,15,35.3,6.67,135,,http://www.fuelly.com/driver/Mystgun/
2012,Bajaj,Pulsar 135 LS,2,depeuve,37.5,88.2,2.67,135,,http://www.fuelly.com/driver/depeuve/
2011,Bajaj,Pulsar 135 LS,1,linkinparklive,41.5,97.6,2.41,135,,http://www.fuelly.com/driver/linkinparklive/
2012,Bajaj,Pulsar 135 LS,2,hiantoro,41.8,98.3,2.39,135,,http://www.fuelly.com/driver/hiantoro/
2011,Bajaj,Pulsar 135 LS,17,agzorig,47.1,110.8,2.12,135,,http://www.fuelly.com/driver/agzorig/
2010,Bajaj,Pulsar 135 LS,3,x3v4nx,48.7,114.6,2.05,135,,http://www.fuelly.com/driver/x3v4nx/
2006,Bajaj,Pulsar 150 DTSi,43,Renji,49.2,115.7,2.03,150,,http://www.fuelly.com/driver/Renji/
2010,Bajaj,PULSAR 180 DTSI-UG4,10,hard,42.1,99.0,2.38,180,,http://www.fuelly.com/driver/hard/
2012,Bajaj,Pulsar 220,3,jhonnattik,23.8,56.0,4.20,220,,http://www.fuelly.com/driver/jhonnattik/
2010,Bajaj,Pulsar 220,26,Tripper,24.6,57.9,4.07,220,,http://www.fuelly.com/driver/Tripper/
2010,Bajaj,Pulsar 220,18,adventuresystem,34.8,81.9,2.87,220,,http://www.fuelly.com/driver/adventuresystem/
2007,Bajaj,Pulsar 220,4,adityab,37.6,88.4,2.66,220,,http://www.fuelly.com/driver/adityab/
2010,Bajaj,Pulsar 220,3,rachitleo,37.7,88.7,2.65,220,,http://www.fuelly.com/driver/rachitleo/
