2009,BMW,F650GS Twin,25.8,60.7,3.88,650,http://www.fuelly.com/driver/dave92029./
2009,BMW,F650GS Twin,25.9,60.9,3.86,650,http://www.fuelly.com/driver/vuganeja/
2008,BMW,F650GS Twin,29.3,68.9,3.41,650,http://www.fuelly.com/driver/RMB/
1997,BMW,F650ST,12.3,28.9,8.13,650,http://www.fuelly.com/driver/JamesAquilina/
1999,BMW,F650ST,15.5,36.5,6.45,650,http://www.fuelly.com/driver/MoeST/
1998,BMW,F650ST,16.2,38.1,6.17,650,http://www.fuelly.com/driver/capeche/
1999,BMW,F650ST,17.2,40.5,5.81,650,http://www.fuelly.com/driver/batou/
1997,BMW,F650ST,18,42.3,5.56,650,http://www.fuelly.com/driver/alexpapad/
1998,BMW,F650ST,18.7,44,5.35,650,http://www.fuelly.com/driver/ursinescootician/
1997,BMW,F650ST,19.6,46.1,5.1,650,http://www.fuelly.com/driver/TMB/
2010,BMW,F800GS,10.6,24.9,9.43,800,http://www.fuelly.com/driver/basko/
2008,BMW,F800GS,15.7,36.9,6.37,800,http://www.fuelly.com/driver/moriarty/
2011,BMW,F800GS,17.6,41.4,5.68,800,http://www.fuelly.com/driver/fbakkes/
2010,BMW,F800GS,17.8,41.9,5.62,800,http://www.fuelly.com/driver/redback/
2009,BMW,F800GS,17.9,42.1,5.59,800,http://www.fuelly.com/driver/SACK/
2008,BMW,F800GS,17.9,42.1,5.59,800,http://www.fuelly.com/driver/tomdupld/
2008,BMW,F800GS,18,42.3,5.56,800,http://www.fuelly.com/driver/drid/
2010,BMW,F800GS,18.2,42.8,5.49,800,http://www.fuelly.com/driver/Muca22/
2012,BMW,F800GS,18.3,43,5.46,800,http://www.fuelly.com/driver/guidantas/
