Year,Make,Model,fuelups,user,KML,kms,CC,Style,url
2008,Yamaha,C3,4,indyjosh.,43.7,174.8,50,Scooter,
2012,Honda,PCX150,2,nlbar,43.6,87.2,150,,
1996,PYO,G-MAX,4,yachtie01,43.6,174.4,,,
2011,Royal,Enfield Electra 5s,33,itvikram,43.6,1438.8,,,
2010,SYM,Symba,12,ngilbreath80,43.6,523.2,,,
2012,Yamaha,Ego S,13,lol,43.6,566.8,,,
2007,Bajaj,Pulsar 220,84,ak78,43.5,3654,220,,
2011,Honda,PCX,9,cmbarbosa,43.5,391.5,,,
2011,Honda,PCX,4,Singh007,43.5,174,,,
2007,Genuine,Buddy 125,19,bucky119,43.4,824.6,125,,
2009,Genuine,Buddy 150,9,Shanny56,43.4,390.6,150,,
2006,Honda,Metropolitan,1,RaymanInc,43.4,43.4,,,
2012,Honda,PCX,5,wolverin,43.4,217,,,
2012,Honda,PCX,5,dude494,43.4,217,,,
2010,Kawasaki,Versys,3,reverendhoover,43.3,129.9,,,
2005,Vespa,LX50,9,LlukeK,43.3,389.7,50,,
2006,Yamaha,LC135,3,Arie666,43.3,129.9,350,,
2007,Bajaj,pulsar 220,1,kashifsayed.,43.2,43.2,220,,
2012,Honda,CBF125,5,jtn123,43.2,216,125,,
2011,Honda,CBF125,87,cbf125rider,43.2,3758.4,125,,
2012,Honda,PCX150,39,scooterjourney,43.2,1684.8,150,,
2010,Kawasaki,Rouser 135LS,8,mananakay,43.2,345.6,110,,
2012,Modenas,ACE 115,9,Zulk,43.2,388.8,115,,http://www.fuelly.com/driver/Zulk/ACE 115
2006,SYM,DD 50,5,danielmakana.,43.2,216,50,,
2010,Genuine,Stella 150 4T,9,orangej00s,43.1,387.9,150,,
2003,Honda,Metropolitan,5,cdmwebs,43.1,215.5,,,
2011,Honda,PCX,35,pcxeddie,43.1,1508.5,,,
2011,Honda,PCX,11,t288msd,43.1,474.1,,,
2010,Honda,PCX,11,psou,43.1,474.1,,,
2013,Honda,PCX150,10,Urbanian,43.1,431,150,,
2009,Genuine,Buddy 125,140,hachi08,43,6020,125,,
2010,Honda,Elite 110,42,cwm1danger,43,1806,110,,
2003,Honda,Metropolitan,1,elopez12345,43,43,,,
2012,Honda,PCX,14,tritolosiciliano,43,602,,,
2011,Honda,PCX,21,captainsensible,43,903,,,
2011,Honda,PCX,7,SeaJ,43,301,,,
2011,Daelim,Daystar Black Plus,3,RMER,42.9,128.7,,,
2009,Genuine,Buddy 125,69,chaebop,42.9,2960.1,125,,
